time,number,sell
1,29.265,29.807
2,29.225,29.767
3,29.23,29.772
4,29.15,29.692
5,29.15,29.692
6,29.185,29.727
7,29.245,29.787
8,29.25,29.792
9,29.245,29.787
10,29.185,29.727
11,29.195,29.737
12,29.2,29.742
13,29.2,29.742
14,29.06,29.602
15,28.99,29.532
16,28.91,29.452
17,28.86,29.402
18,28.695,29.237
19,28.735,29.277
20,28.795,29.337
21,28.87,29.412
22,28.78,29.322
23,28.845,29.387
24,28.865,29.407
25,28.945,29.487
26,29,29.542
27,28.9,29.442
28,29.005,29.547
29,29.025,29.567
30,29.035,29.577
31,28.99,29.532
32,28.965,29.507
33,28.84,29.382
34,28.92,29.462
35,28.945,29.487
36,28.875,29.417
37,28.845,29.387
38,28.95,29.492
39,28.925,29.467
40,28.93,29.472
41,28.925,29.467
42,28.9,29.442
43,28.91,29.452
44,28.94,29.482
45,28.925,29.467
46,28.9,29.442
47,28.9,29.442
48,28.835,29.377
49,28.81,29.352
50,28.84,29.382
51,28.81,29.352
52,28.825,29.367
53,28.795,29.337
54,28.81,29.352
55,28.795,29.337
56,28.785,29.327
57,28.805,29.347
58,28.8,29.342
59,28.755,29.297
60,28.755,29.297
61,28.785,29.327
62,28.79,29.332
63,28.845,29.387
64,28.835,29.377
65,28.845,29.387
66,28.905,29.447
67,28.94,29.482
